drug_id,ec50_factor,Eff_0,Error_0,SSE
[3],1.2300000000000006,0.7809,0.008118009999999993,0.008118009999999993
[3],1.2400000000000007,0.7772,0.00879844,0.00879844
[3],1.2500000000000007,0.7707,0.010060089999999989,0.010060089999999989
[3],1.2600000000000007,0.7683,0.010547290000000003,0.010547290000000003
[3],1.2700000000000007,0.7678,0.010650239999999991,0.010650239999999991
[3],1.2800000000000007,0.7602,0.012276640000000002,0.012276640000000002
[3],1.2900000000000007,0.748,0.015129,0.015129
[3],1.3000000000000007,0.753,0.013923999999999999,0.013923999999999999
[3],1.3100000000000007,0.7441,0.016103610000000004,0.016103610000000004
[3],1.3200000000000007,0.7378,0.017742239999999996,0.017742239999999996
[3],1.3300000000000007,0.7367,0.018036489999999992,0.018036489999999992
[3],1.3400000000000007,0.7295,0.020022249999999988,0.020022249999999988
[3],1.3500000000000008,0.7258,0.021083039999999997,0.021083039999999997
[3],1.3600000000000008,0.7264,0.020909159999999986,0.020909159999999986
[3],1.3700000000000008,0.7225,0.02205224999999999,0.02205224999999999
[3],1.3800000000000008,0.7151,0.024304810000000013,0.024304810000000013
[3],1.3900000000000008,0.7107,0.025696089999999998,0.025696089999999998
[3],1.4000000000000008,0.7014,0.02876415999999999,0.02876415999999999
[3],1.4100000000000008,0.6954,0.030835359999999992,0.030835359999999992
[3],1.4200000000000008,0.6949,0.03101121000000001,0.03101121000000001
[3],1.4300000000000008,0.6854,0.034447359999999996,0.034447359999999996
[3],1.4400000000000008,0.6828,0.03541924000000001,0.03541924000000001
[3],1.4500000000000008,0.678,0.037248999999999984,0.037248999999999984
[3],1.4600000000000009,0.6681,0.04116840999999999,0.04116840999999999
[3],1.4700000000000009,0.6742,0.03873023999999999,0.03873023999999999
[3],1.4800000000000009,0.6625,0.04347225000000001,0.04347225000000001
[3],1.4900000000000009,0.6571,0.04575320999999999,0.04575320999999999
